cocktail,ndrugs,dose,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,response,rlog
1+3,2,11,1,0,1,0,0,0,0,0,0,0,0.0667,-2.70755032606056
1+3,2,12,1,0,1,0,0,0,0,0,0,0,0.0645,-2.74109005518041
1+3,2,13,1,0,1,0,0,0,0,0,0,0,0.07,-2.65926003693278
1+4,2,1,1,0,0,1,0,0,0,0,0,0,0.8073,-0.214059932581167
1+4,2,2,1,0,0,1,0,0,0,0,0,0,0.6776,-0.389198135644292
1+4,2,3,1,0,0,1,0,0,0,0,0,0,0.5837,-0.538368126772392
1+4,2,4,1,0,0,1,0,0,0,0,0,0,0.4434,-0.813282981799926
1+4,2,5,1,0,0,1,0,0,0,0,0,0,0.347,-1.05843049903528
1+4,2,6,1,0,0,1,0,0,0,0,0,0,0.2669,-1.32088122257166
1+4,2,7,1,0,0,1,0,0,0,0,0,0,0.1854,-1.68523962585038
1+4,2,8,1,0,0,1,0,0,0,0,0,0,0.1284,-2.05260488772628
1+4,2,9,1,0,0,1,0,0,0,0,0,0,0.1051,-2.25284300109923
1+4,2,10,1,0,0,1,0,0,0,0,0,0,0.0996,-2.30659311439158
1+4,2,11,1,0,0,1,0,0,0,0,0,0,0.0874,-2.43725999632065
1+4,2,12,1,0,0,1,0,0,0,0,0,0,0.081,-2.5133061243097
1+4,2,13,1,0,0,1,0,0,0,0,0,0,0.0861,-2.45224586754845
1+8,2,1,1,0,0,0,0,0,0,1,0,0,0.830714285714286,-0.185469363084686
1+8,2,2,1,0,0,0,0,0,0,1,0,0,0.704,-0.350976922824095
1+8,2,3,1,0,0,0,0,0,0,1,0,0,0.525571428571429,-0.643269172932676
1+8,2,4,1,0,0,0,0,0,0,1,0,0,0.487714285714286,-0.718025524683064
1+8,2,5,1,0,0,0,0,0,0,1,0,0,0.327857142857143,-1.11517730554281
1+8,2,6,1,0,0,0,0,0,0,1,0,0,0.214714285714286,-1.53844703828448
1+8,2,7,1,0,0,0,0,0,0,1,0,0,0.234142857142857,-1.45182384929362
1+8,2,8,1,0,0,0,0,0,0,1,0,0,0.233714285714286,-1.45365591087476
1+8,2,9,1,0,0,0,0,0,0,1,0,0,0.159,-1.83885107676191
1+8,2,10,1,0,0,0,0,0,0,1,0,0,0.063571428571429,-2.75559114587121
1+8,2,11,1,0,0,0,0,0,0,1,0,0,0.056857142857143,-2.86721342275301
1+8,2,12,1,0,0,0,0,0,0,1,0,0,0.052,-2.95651156040071
1+8,2,13,1,0,0,0,0,0,0,1,0,0,0.051857142857143,-2.9592625937726
2+10,2,1,0,1,0,0,0,0,0,0,0,1,0.567888888888889,-0.565829497550077
2+10,2,2,0,1,0,0,0,0,0,0,0,1,0.395777777777778,-0.92690239246875
2+10,2,3,0,1,0,0,0,0,0,0,0,1,0.313444444444444,-1.16013314531636
2+10,2,4,0,1,0,0,0,0,0,0,0,1,0.289222222222222,-1.24055995132379
2+10,2,5,0,1,0,0,0,0,0,0,0,1,0.256888888888889,-1.35911162652609
2+10,2,6,0,1,0,0,0,0,0,0,0,1,0.231222222222222,-1.46437602992472
2+10,2,7,0,1,0,0,0,0,0,0,0,1,0.243222222222222,-1.41377975879549
2+10,2,8,0,1,0,0,0,0,0,0,0,1,0.158222222222222,-1.84375476434644
2+10,2,9,0,1,0,0,0,0,0,0,0,1,0.131444444444444,-2.02917099233997
2+10,2,10,0,1,0,0,0,0,0,0,0,1,0.114333333333333,-2.16863712048431
2+10,2,11,0,1,0,0,0,0,0,0,0,1,0.089,-2.41911890925
2+10,2,12,0,1,0,0,0,0,0,0,0,1,0.090142857142857,-2.40635956549624
2+10,2,13,0,1,0,0,0,0,0,0,0,1,0.057571428571429,-2.85472886609077
2+3,2,1,0,1,1,0,0,0,0,0,0,0,0.5864,-0.533753128409695
2+3,2,2,0,1,1,0,0,0,0,0,0,0,0.5014,-0.690351093257944
2+3,2,3,0,1,1,0,0,0,0,0,0,0,0.4086,-0.895018596598615
2+3,2,4,0,1,1,0,0,0,0,0,0,0,0.367,-1.00239343092757
2+3,2,5,0,1,1,0,0,0,0,0,0,0,0.278,-1.2801341652915
2+3,2,6,0,1,1,0,0,0,0,0,0,0,0.252,-1.37832619147071
2+3,2,7,0,1,1,0,0,0,0,0,0,0,0.2066,-1.5769707222966
2+3,2,8,0,1,1,0,0,0,0,0,0,0,0.2296,-1.47141661453673
2+3,2,9,0,1,1,0,0,0,0,0,0,0,0.1756,-1.73954659778112
2+3,2,10,0,1,1,0,0,0,0,0,0,0,0.1568,-1.85278417106583
2+3,2,11,0,1,1,0,0,0,0,0,0,0,0.1752,-1.74182710047985
2+3,2,12,0,1,1,0,0,0,0,0,0,0,0.2028,-1.59553500726511
2+3,2,13,0,1,1,0,0,0,0,0,0,0,0.1566,-1.85406049542543
2+4,2,1,0,1,0,1,0,0,0,0,0,0,0.557222222222222,-0.58479115592232
2+4,2,2,0,1,0,1,0,0,0,0,0,0,0.456333333333333,-0.784531742361798
2+4,2,3,0,1,0,1,0,0,0,0,0,0,0.364777777777778,-1.00846693881676
2+4,2,4,0,1,0,1,0,0,0,0,0,0,0.297777777777778,-1.21140778281345
2+4,2,5,0,1,0,1,0,0,0,0,0,0,0.252,-1.37832619147071
2+4,2,6,0,1,0,1,0,0,0,0,0,0,0.230111111111111,-1.46919299492277
2+4,2,7,0,1,0,1,0,0,0,0,0,0,0.200888888888889,-1.60500331536623
2+4,2,8,0,1,0,1,0,0,0,0,0,0,0.191222222222222,-1.65431906010682
2+4,2,9,0,1,0,1,0,0,0,0,0,0,0.159777777777778,-1.83397131803736
2+4,2,10,0,1,0,1,0,0,0,0,0,0,0.165111111111111,-1.80113663104065
2+4,2,11,0,1,0,1,0,0,0,0,0,0,0.158333333333333,-1.84305276361561
2+4,2,12,0,1,0,1,0,0,0,0,0,0,0.153857142857143,-1.87173075088106
2+4,2,13,0,1,0,1,0,0,0,0,0,0,0.125857142857143,-2.07260780210127
2+8,2,1,0,1,0,0,0,0,0,1,0,0,0.748333333333333,-0.289906767473892
2+8,2,2,0,1,0,0,0,0,0,1,0,0,0.557222222222222,-0.58479115592232
2+8,2,3,0,1,0,0,0,0,0,1,0,0,0.434555555555556,-0.833431481562842
2+8,2,4,0,1,0,0,0,0,0,1,0,0,0.341222222222222,-1.07522133587753
2+8,2,5,0,1,0,0,0,0,0,1,0,0,0.285555555555556,-1.25331867842909
2+8,2,6,0,1,0,0,0,0,0,1,0,0,0.247111111111111,-1.39791720094788
2+8,2,7,0,1,0,0,0,0,0,1,0,0,0.262888888888889,-1.33602381178002
2+8,2,8,0,1,0,0,0,0,0,1,0,0,0.228888888888889,-1.47451859453473
2+8,2,9,0,1,0,0,0,0,0,1,0,0,0.195777777777778,-1.63077504982223
2+8,2,10,0,1,0,0,0,0,0,1,0,0,0.133,-2.01740615076038
2+8,2,11,0,1,0,0,0,0,0,1,0,0,0.116666666666667,-2.14843441316679
2+8,2,12,0,1,0,0,0,0,0,1,0,0,0.069285714285714,-2.66951653709997
2+8,2,13,0,1,0,0,0,0,0,1,0,0,0.055428571428572,-2.89266008841418
3+10,2,1,0,0,1,0,0,0,0,0,0,1,0.852818181818182,-0.159208905654557
3+10,2,2,0,0,1,0,0,0,0,0,0,1,0.774636363636364,-0.255361567952552
3+10,2,3,0,0,1,0,0,0,0,0,0,1,0.698545454545455,-0.35875502789206
3+10,2,4,0,0,1,0,0,0,0,0,0,1,0.600363636363636,-0.510219746740489
3+10,2,5,0,0,1,0,0,0,0,0,0,1,0.520636363636364,-0.65270343938665
3+10,2,6,0,0,1,0,0,0,0,0,0,1,0.482636363636364,-0.728491779196836
3+10,2,7,0,0,1,0,0,0,0,0,0,1,0.419181818181818,-0.869450519573802
3+10,2,8,0,0,1,0,0,0,0,0,0,1,0.407545454545455,-0.897602807625068
3+10,2,9,0,0,1,0,0,0,0,0,0,1,0.353545454545455,-1.03974321762476
3+10,2,10,0,0,1,0,0,0,0,0,0,1,0.357454545454546,-1.02874707051345
3+10,2,11,0,0,1,0,0,0,0,0,0,1,0.320181818181818,-1.13886626272436
3+10,2,12,0,0,1,0,0,0,0,0,0,1,0.29,-1.23787435600162
3+10,2,13,0,0,1,0,0,0,0,0,0,1,0.254545454545454,-1.36827585561721
